time,ACE
2024-01-24 06:49:45,183.23
2024-01-24 06:50:00,234.01
2024-01-24 06:50:15,202.69
2024-01-24 06:50:30,116.44
2024-01-24 06:50:45,95.88
2024-01-24 06:51:00,113.5
2024-01-24 06:51:15,163.53
2024-01-24 06:51:30,260.08
2024-01-24 06:51:45,303.03
2024-01-24 06:52:00,304.31
2024-01-24 06:52:15,201.21
2024-01-24 06:52:30,136.03
2024-01-24 06:52:45,97.83
2024-01-24 06:53:00,147.54
2024-01-24 06:53:15,145.41
2024-01-24 06:53:30,217.87
2024-01-24 06:53:45,429.42
2024-01-24 06:54:00,432.54
2024-01-24 06:54:15,306.14
2024-01-24 06:54:30,230.33
2024-01-24 06:54:45,225.18
2024-01-24 06:55:00,325.76
2024-01-24 06:55:15,317.71
2024-01-24 06:55:30,340.87
2024-01-24 06:55:45,321.12
2024-01-24 06:56:00,276.14
2024-01-24 06:56:15,255.31
2024-01-24 06:56:30,299.21
2024-01-24 06:56:45,264.63
2024-01-24 06:57:00,269.91
2024-01-24 06:57:15,302.79
2024-01-24 06:57:30,372.66
2024-01-24 06:57:45,445.44
2024-01-24 06:58:00,432.87
2024-01-24 06:58:15,357.19
2024-01-24 06:58:30,289.99
2024-01-24 06:58:45,319.27
2024-01-24 06:59:00,380.42
2024-01-24 06:59:15,358.48
2024-01-24 06:59:30,329.78
2024-01-24 06:59:45,338.32
2024-01-24 07:00:00,331.21
2024-01-24 07:00:15,327.28
2024-01-24 07:00:30,252.27
2024-01-24 07:00:45,161.42
2024-01-24 07:01:00,158.71
2024-01-24 07:01:15,136.74
2024-01-24 07:01:30,153.75
2024-01-24 07:01:45,53.35
2024-01-24 07:02:00,12.56
2024-01-24 07:02:15,-83.87
2024-01-24 07:02:30,-135.1
2024-01-24 07:02:45,-318.79
2024-01-24 07:03:00,-430.58
2024-01-24 07:03:15,-497.35
2024-01-24 07:03:30,-512.8
2024-01-24 07:03:45,-446.01
2024-01-24 07:04:00,-424.13
2024-01-24 07:04:15,-395.85
2024-01-24 07:04:30,-370.09
2024-01-24 07:04:45,-341.01
2024-01-24 07:05:00,-333.78
2024-01-24 07:05:15,-291.15
2024-01-24 07:05:30,-263.14
2024-01-24 07:05:45,-243.39
2024-01-24 07:06:00,-186.41
2024-01-24 07:06:15,-202.87
2024-01-24 07:06:30,-223.49
2024-01-24 07:06:45,-304.01
2024-01-24 07:07:00,-278.14
2024-01-24 07:07:15,-198.69
2024-01-24 07:07:30,-155.41
2024-01-24 07:07:45,-201.76
2024-01-24 07:08:00,-171.56
2024-01-24 07:08:15,-143.13
2024-01-24 07:08:30,-151.05
2024-01-24 07:08:45,-110.5
2024-01-24 07:09:00,-128.86
2024-01-24 07:09:15,-101.45
2024-01-24 07:09:30,-31.33
2024-01-24 07:09:45,-132.73
2024-01-24 07:10:00,-143.5
2024-01-24 07:10:15,-140.49
2024-01-24 07:10:30,-104.77
2024-01-24 07:10:45,-179.09
2024-01-24 07:11:00,-250.79
2024-01-24 07:11:15,-318.57
2024-01-24 07:11:30,-261.36
2024-01-24 07:11:45,-133.74
2024-01-24 07:12:00,-84.75
2024-01-24 07:12:15,-193.08
2024-01-24 07:12:30,-261.56
2024-01-24 07:12:45,-338.17
2024-01-24 07:13:00,-379.34
2024-01-24 07:13:15,-403.26
2024-01-24 07:13:30,-413.47
2024-01-24 07:13:45,-375.62
2024-01-24 07:14:00,-408.44
2024-01-24 07:14:15,-426.03
2024-01-24 07:14:30,-394.31
2024-01-24 07:14:45,-337.12
2024-01-24 07:15:00,-248.95
2024-01-24 07:15:15,-180.99
2024-01-24 07:15:30,-138.05
2024-01-24 07:15:45,-192.11
2024-01-24 07:16:00,-211.85
2024-01-24 07:16:15,-279.34
2024-01-24 07:16:30,-256.6
2024-01-24 07:16:45,-236.47
2024-01-24 07:17:00,-210.97
2024-01-24 07:17:15,-146.22
2024-01-24 07:17:30,-148.48
2024-01-24 07:17:45,-110.13
2024-01-24 07:18:00,-105.33
2024-01-24 07:18:15,-89.69
2024-01-24 07:18:30,-136.17
2024-01-24 07:18:45,-130.08
2024-01-24 07:19:00,-140.81
2024-01-24 07:19:15,-128.79
2024-01-24 07:19:30,-66.54
2024-01-24 07:19:45,57.34
2024-01-24 07:20:00,84.74
2024-01-24 07:20:15,30.23
2024-01-24 07:20:30,11.53
2024-01-24 07:20:45,13.53
2024-01-24 07:21:00,-9.57
2024-01-24 07:21:15,-19.81
2024-01-24 07:21:30,-36.56
2024-01-24 07:21:45,-61.21
2024-01-24 07:22:00,-101.5
2024-01-24 07:22:15,-37.05
2024-01-24 07:22:30,46.16
2024-01-24 07:22:45,106.54
2024-01-24 07:23:00,185.65
2024-01-24 07:23:15,227.31
2024-01-24 07:23:30,143.09
2024-01-24 07:23:45,39.43
2024-01-24 07:24:00,-45.89
2024-01-24 07:24:15,-4.95
2024-01-24 07:24:30,241.22
2024-01-24 07:24:45,404.57
2024-01-24 07:25:00,393.27
