date,value
2013-07-30 05:00:00,19.2
2013-07-31 08:00:00,19.25
2013-07-31 05:00:00,19.35
2013-08-01 08:00:00,19.44
2013-08-01 05:00:00,19.38
2013-08-02 08:00:00,19.38
2013-08-02 05:00:00,18.92
2013-08-05 08:00:00,18.9
2013-08-05 05:00:00,19.17
2013-08-06 08:00:00,19.17
2013-08-06 05:00:00,18.92
2013-08-07 08:00:00,18.84
2013-08-07 05:00:00,18.87
2013-08-08 08:00:00,18.99
2013-08-08 05:00:00,18.98
2013-08-09 08:00:00,18.91
2013-08-09 05:00:00,18.6
2013-08-12 08:00:00,18.49
2013-08-12 05:00:00,18.82
2013-08-13 08:00:00,18.86
2013-08-13 05:00:00,16.36
2013-08-14 08:00:00,16.05
2013-08-14 05:00:00,16.17
2013-08-15 08:00:00,15.97
2013-08-15 05:00:00,15.72
2013-08-16 08:00:00,15.7
2013-08-16 05:00:00,16.01
2013-08-19 08:00:00,15.97
2013-08-19 05:00:00,15.64
2013-08-20 08:00:00,15.64
2013-08-20 05:00:00,15.8
2013-08-21 08:00:00,15.8
2013-08-21 05:00:00,15.81
2013-08-22 08:00:00,15.91
2013-08-22 05:00:00,16.27
2013-08-23 08:00:00,16.3
2013-08-23 05:00:00,16.16
2013-08-26 08:00:00,16.16
2013-08-26 05:00:00,16.21
2013-08-27 08:00:00,15.87
2013-08-27 05:00:00,15.47
2013-08-28 08:00:00,15.38
2013-08-28 05:00:00,15.34
2013-08-29 08:00:00,16.03
2013-08-29 05:00:00,15.96
2013-08-30 08:00:00,16.1
2013-08-30 05:00:00,16.16
2013-09-03 08:00:00,16.38
2013-09-03 05:00:00,16.39
2013-09-04 08:00:00,16.49
2013-09-04 05:00:00,16.81
2013-09-05 08:00:00,16.95
2013-09-05 05:00:00,16.99
2013-09-06 08:00:00,17.18
2013-09-06 05:00:00,16.8
2013-09-09 08:00:00,16.86
2013-09-09 05:00:00,17.47
2013-09-10 08:00:00,17.69
2013-09-10 05:00:00,18.12
2013-09-11 08:00:00,18.03
2013-09-11 05:00:00,17.72
2013-09-12 08:00:00,17.69
2013-09-12 05:00:00,17.63
2013-09-13 08:00:00,17.71
2013-09-13 05:00:00,17.87
2013-09-16 08:00:00,18.16
2013-09-16 05:00:00,18.07
2013-09-17 08:00:00,18.57
2013-09-17 05:00:00,18.72
2013-09-18 08:00:00,18.68
2013-09-18 05:00:00,18.68
2013-09-19 08:00:00,18.67
2013-09-19 05:00:00,18.97
2013-09-20 08:00:00,18.94
2013-09-20 05:00:00,18.89
2013-09-23 08:00:00,18.89
2013-09-23 05:00:00,18.86
2013-09-24 08:00:00,18.79
2013-09-24 05:00:00,18.99
2013-09-25 08:00:00,19.13
2013-09-25 05:00:00,19.18
2013-09-26 08:00:00,19.17
2013-09-26 05:00:00,19.47
2013-09-27 08:00:00,19.09
2013-09-27 05:00:00,19.08
2013-09-30 08:00:00,18.34
2013-09-30 05:00:00,18.96
2013-10-01 08:00:00,18.98
2013-10-01 05:00:00,19.69
2013-10-02 08:00:00,20.0
2013-10-02 05:00:00,19.84
2013-10-03 08:00:00,20.0
2013-10-03 05:00:00,20.48
2013-10-04 08:00:00,20.31
2013-10-04 05:00:00,20.53
2013-10-07 08:00:00,20.41
2013-10-07 05:00:00,20.39
2013-10-08 08:00:00,20.32
2013-10-08 05:00:00,20.02
2013-10-09 08:00:00,20.08
2013-10-09 05:00:00,20.06
2013-10-10 08:00:00,20.35
2013-10-10 05:00:00,20.5
2013-10-11 08:00:00,20.5
2013-10-11 05:00:00,20.72
2013-10-14 08:00:00,20.52
2013-10-14 05:00:00,20.58
2013-10-15 08:00:00,20.64
2013-10-15 05:00:00,20.5
2013-10-16 08:00:00,20.57
2013-10-16 05:00:00,20.62
2013-10-17 08:00:00,20.72
2013-10-17 05:00:00,21.0
2013-10-18 08:00:00,21.23
2013-10-18 05:00:00,21.14
2013-10-21 08:00:00,21.23
