Time,CTS
2024-02-10 12:15:00,-0.8599999999999994
2024-02-10 12:30:00,6.18
2024-02-10 12:45:00,1.2699999999999996
2024-02-10 13:00:00,2.759999999999998
2024-02-10 13:15:00,2.3299999999999983
2024-02-10 13:30:00,2.389999999999999
2024-02-10 13:45:00,1.990000000000002
2024-02-10 14:00:00,2.0599999999999987
2024-02-10 14:15:00,1.7900000000000027
2024-02-10 14:30:00,6.07
2024-02-10 14:45:00,3.75
2024-02-10 15:00:00,2.3200000000000003
2024-02-10 15:15:00,0.5199999999999996
2024-02-10 15:30:00,2.549999999999997
2024-02-10 15:45:00,2.210000000000001
2024-02-10 16:00:00,2.280000000000001
2024-02-10 16:15:00,2.6500000000000057
2024-02-10 16:30:00,7.099999999999998
2024-02-10 16:45:00,19.400000000000002
2024-02-10 17:00:00,11.760000000000002
2024-02-10 17:15:00,13.829999999999998
2024-02-10 17:30:00,-2.480000000000004
2024-02-10 17:45:00,-24.309999999999995
2024-02-10 18:00:00,-22.319999999999993
2024-02-10 18:15:00,0.8599999999999994
2024-02-10 18:30:00,15.419999999999998
2024-02-10 18:45:00,8.670000000000002
2024-02-10 19:00:00,-9.329999999999998
2024-02-10 19:15:00,14.860000000000003
2024-02-10 19:30:00,13.670000000000002
2024-02-10 19:45:00,15.710000000000004
2024-02-10 20:00:00,7.149999999999999
2024-02-10 20:15:00,9.18
2024-02-10 20:30:00,7.810000000000002
2024-02-10 20:45:00,12.070000000000004
2024-02-10 21:00:00,1.7800000000000011
2024-02-10 21:15:00,2.349999999999998
2024-02-10 21:30:00,-3.6400000000000006
2024-02-10 21:45:00,-3.3900000000000006
2024-02-10 22:00:00,-2.020000000000003
2024-02-10 22:15:00,0.240000000000002
2024-02-10 22:30:00,1.8000000000000007
2024-02-10 22:45:00,-0.9299999999999997
2024-02-10 23:00:00,2.2799999999999976
2024-02-10 23:15:00,7.049999999999999
2024-02-10 23:30:00,8.620000000000001
2024-02-10 23:45:00,8.13
2024-02-11 00:00:00,7.309999999999999
2024-02-11 00:15:00,6.33
2024-02-11 00:30:00,5.779999999999999
2024-02-11 00:45:00,7.209999999999999
2024-02-11 01:00:00,6.289999999999999
2024-02-11 01:15:00,6.389999999999999
2024-02-11 01:30:00,4.6899999999999995
2024-02-11 01:45:00,4.529999999999999
2024-02-11 02:00:00,3.8499999999999996
2024-02-11 02:15:00,4.320000000000002
2024-02-11 02:30:00,4.76
2024-02-11 02:45:00,5.609999999999999
2024-02-11 03:00:00,4.82
2024-02-11 03:15:00,4.02
2024-02-11 03:30:00,3.1400000000000006
2024-02-11 03:45:00,2.3599999999999994
2024-02-11 04:00:00,3.2399999999999984
2024-02-11 04:15:00,1.0899999999999999
2024-02-11 04:30:00,0.9699999999999989
2024-02-11 04:45:00,2.59
2024-02-11 05:00:00,3.620000000000001
2024-02-11 05:15:00,2.1000000000000014
2024-02-11 05:30:00,-5.629999999999999
2024-02-11 05:45:00,3.539999999999999
2024-02-11 06:00:00,1.6099999999999994
2024-02-11 06:15:00,2.5599999999999987
2024-02-11 06:30:00,-9.32
2024-02-11 06:45:00,-5.200000000000003
2024-02-11 07:00:00,-7.210000000000001
2024-02-11 07:15:00,-11.530000000000001
2024-02-11 07:30:00,1.3599999999999994
2024-02-11 07:45:00,4.66
2024-02-11 08:00:00,1.3499999999999979
2024-02-11 08:15:00,-1.9399999999999977
2024-02-11 08:30:00,5.370000000000001
2024-02-11 08:45:00,3.7600000000000016
2024-02-11 09:00:00,-2.139999999999997
2024-02-11 09:15:00,9.52
2024-02-11 09:30:00,-22.68
2024-02-11 09:45:00,-69.75
2024-02-11 10:00:00,-93.52
2024-02-11 10:15:00,-44.650000000000006
2024-02-11 10:30:00,-9.370000000000005
2024-02-11 10:45:00,-13.369999999999997
2024-02-11 11:00:00,-6.330000000000005
2024-02-11 11:15:00,1.8400000000000034
2024-02-11 11:30:00,-8.18
2024-02-11 11:45:00,0.21000000000000085
2024-02-11 12:00:00,9.679999999999996
2024-02-11 12:15:00,11.480000000000004
2024-02-11 12:30:00,13.84
2024-02-11 12:45:00,12.2
2024-02-11 13:00:00,15.649999999999999
2024-02-11 13:15:00,15.829999999999998
2024-02-11 13:30:00,6.540000000000003
2024-02-11 13:45:00,8.209999999999997
2024-02-11 14:00:00,8.279999999999998
2024-02-11 14:15:00,8.299999999999997
2024-02-11 14:30:00,6.0
2024-02-11 14:45:00,4.82
2024-02-11 15:00:00,3.6499999999999986
2024-02-11 15:15:00,4.239999999999998
2024-02-11 15:30:00,5.829999999999998
2024-02-11 15:45:00,7.34
2024-02-11 16:00:00,3.780000000000001
2024-02-11 16:15:00,5.0
2024-02-11 16:30:00,-26.53
2024-02-11 16:45:00,-67.57
2024-02-11 17:00:00,-43.86
2024-02-11 17:15:00,-82.86999999999999
2024-02-11 17:30:00,-1.7299999999999969
2024-02-11 17:45:00,-64.83000000000001
2024-02-11 18:00:00,-81.02
2024-02-11 18:15:00,-3.039999999999999
2024-02-11 18:30:00,-0.020000000000003126
2024-02-11 18:45:00,-4.77
2024-02-11 19:00:00,-1.3900000000000006
2024-02-11 19:15:00,-4.25
2024-02-11 19:30:00,0.16999999999999815
2024-02-11 19:45:00,-4.240000000000002
2024-02-11 20:00:00,0.5200000000000031
2024-02-11 20:15:00,1.0
2024-02-11 20:30:00,-2.7200000000000024
2024-02-11 20:45:00,0.33000000000000185
2024-02-11 21:00:00,0.379999999999999
2024-02-11 21:15:00,-1.3100000000000023
2024-02-11 21:30:00,-2.509999999999998
2024-02-11 21:45:00,-33.82
2024-02-11 22:00:00,-5.469999999999999
2024-02-11 22:15:00,-7.59
2024-02-11 22:30:00,-3.950000000000003
2024-02-11 22:45:00,-9.66
2024-02-11 23:00:00,-9.049999999999997
2024-02-11 23:15:00,-9.879999999999999
2024-02-11 23:30:00,0.6199999999999974
2024-02-11 23:45:00,-4.93
2024-02-12 00:00:00,-4.670000000000002
2024-02-12 00:15:00,-7.73
2024-02-12 00:30:00,1.7199999999999989
2024-02-12 00:45:00,4.010000000000002
2024-02-12 01:00:00,4.93
2024-02-12 01:15:00,5.630000000000001
2024-02-12 01:30:00,5.889999999999999
