Local Time,LMP
2023-02-02 01:55:00,52.88
2023-02-02 02:00:00,52.88
2023-02-02 02:05:00,55.41
2023-02-02 02:10:00,55.41
2023-02-02 02:15:00,57.89
2023-02-02 02:20:00,55.49
2023-02-02 02:25:00,55.49
2023-02-02 02:30:00,55.49
2023-02-02 02:35:00,57.5
2023-02-02 02:40:00,57.5
2023-02-02 02:45:00,57.5
2023-02-02 02:50:00,57.31
2023-02-02 02:55:00,54.61
2023-02-02 03:00:00,54.61
2023-02-02 03:05:00,56.35
2023-02-02 03:10:00,56.35
2023-02-02 03:15:00,56.62
2023-02-02 03:20:00,57.44
2023-02-02 03:25:00,57.44
2023-02-02 03:30:00,57.46
2023-02-02 03:35:00,57.46
2023-02-02 03:40:00,57.79
2023-02-02 03:45:00,58.53
2023-02-02 03:50:00,58.53
2023-02-02 03:55:00,58.57
2023-02-02 04:00:00,58.57
2023-02-02 04:05:00,60.45
2023-02-02 04:10:00,60.45
2023-02-02 04:15:00,61.3
2023-02-02 04:20:00,62.74
2023-02-02 04:25:00,62.74
2023-02-02 04:30:00,63.73
2023-02-02 04:35:00,65.28
2023-02-02 04:40:00,65.28
2023-02-02 04:45:00,65.28
2023-02-02 04:50:00,66.74
2023-02-02 04:55:00,65.53
2023-02-02 05:00:00,65.53
2023-02-02 05:05:00,62.75
2023-02-02 05:10:00,63.41
2023-02-02 05:15:00,69.84
2023-02-02 05:20:00,69.84
2023-02-02 05:25:00,95.31
2023-02-02 05:30:00,95.31
2023-02-02 05:35:00,145.11
2023-02-02 05:40:00,145.11
2023-02-02 05:45:00,146.08
2023-02-02 05:50:00,179.31
2023-02-02 05:55:00,144.82
2023-02-02 06:00:00,144.82
2023-02-02 06:05:00,143.75
2023-02-02 06:10:00,135.92
2023-02-02 06:15:00,135.92
2023-02-02 06:20:00,174.78
2023-02-02 06:25:00,174.78
2023-02-02 06:30:00,183.22
2023-02-02 06:35:00,182.72
2023-02-02 06:40:00,230.52
2023-02-02 06:45:00,230.52
2023-02-02 06:50:00,248.94
2023-02-02 06:55:00,240.92
2023-02-02 07:00:00,240.92
2023-02-02 07:05:00,144.29
2023-02-02 07:10:00,141.23
2023-02-02 07:15:00,141.23
2023-02-02 07:20:00,143.71
2023-02-02 07:25:00,147.2
2023-02-02 07:30:00,147.2
2023-02-02 07:35:00,171.15
2023-02-02 07:40:00,171.15
2023-02-02 07:45:00,171.13
2023-02-02 07:50:00,145.25
2023-02-02 07:55:00,134.98
2023-02-02 08:00:00,134.98
2023-02-02 08:05:00,167.96
2023-02-02 08:10:00,141.23
2023-02-02 08:15:00,141.23
2023-02-02 08:20:00,142.08
2023-02-02 08:25:00,100.31
2023-02-02 08:30:00,100.31
2023-02-02 08:35:00,93.88
2023-02-02 08:40:00,93.88
2023-02-02 08:45:00,88.93
2023-02-02 08:50:00,89.56
2023-02-02 08:55:00,88.16
2023-02-02 09:00:00,88.16
2023-02-02 09:05:00,72.26
2023-02-02 09:10:00,70.55
2023-02-02 09:15:00,70.55
2023-02-02 09:20:00,66.43
2023-02-02 09:25:00,66.43
2023-02-02 09:30:00,63.22
2023-02-02 09:35:00,66.01
2023-02-02 09:40:00,59.02
2023-02-02 09:45:00,59.02
2023-02-02 09:50:00,52.99
2023-02-02 09:55:00,52.99
2023-02-02 10:00:00,71.39
2023-02-02 10:05:00,76.72
2023-02-02 10:10:00,77.86
2023-02-02 10:15:00,77.86
2023-02-02 10:20:00,72.06
2023-02-02 10:25:00,69.83
2023-02-02 10:30:00,65.78
2023-02-02 10:35:00,68.38
2023-02-02 10:40:00,68.2
2023-02-02 10:45:00,68.2
2023-02-02 10:50:00,69.2
2023-02-02 10:55:00,69.2
2023-02-02 11:00:00,69.2
2023-02-02 11:05:00,73.11
2023-02-02 11:10:00,70.26
2023-02-02 11:15:00,70.26
2023-02-02 11:20:00,75.57
2023-02-02 11:25:00,75.07
2023-02-02 11:30:00,75.07
2023-02-02 11:35:00,73.36
2023-02-02 11:40:00,75.27
2023-02-02 11:45:00,75.27
2023-02-02 11:50:00,74.23
2023-02-02 11:55:00,70.6
2023-02-02 12:00:00,70.6
2023-02-02 12:05:00,73.03
2023-02-02 12:10:00,73.36
2023-02-02 12:15:00,73.36
2023-02-02 12:20:00,20.39
2023-02-02 12:25:00,-1.03
2023-02-02 12:30:00,-1.03
2023-02-02 12:35:00,8.21
2023-02-02 12:40:00,-25.59
2023-02-02 12:45:00,-25.59
2023-02-02 12:50:00,5.1
2023-02-02 12:55:00,5.09
2023-02-02 13:00:00,5.09
2023-02-02 13:05:00,11.19
2023-02-02 13:10:00,11.16
2023-02-02 13:15:00,11.16
2023-02-02 13:20:00,64.54
2023-02-02 13:25:00,65.38
2023-02-02 13:30:00,65.38
2023-02-02 13:35:00,66.03
2023-02-02 13:40:00,8.22
2023-02-02 13:45:00,8.22
2023-02-02 13:50:00,11.14
2023-02-02 13:55:00,11.14
2023-02-02 14:00:00,0.0
2023-02-02 14:05:00,20.25
2023-02-02 14:10:00,50.53
2023-02-02 14:15:00,50.53
2023-02-02 14:20:00,65.45
2023-02-02 14:25:00,64.29
2023-02-02 14:30:00,64.29
2023-02-02 14:35:00,50.78
2023-02-02 14:40:00,62.65
2023-02-02 14:45:00,62.65
2023-02-02 14:50:00,-3.52
2023-02-02 14:55:00,-3.52
2023-02-02 15:00:00,-10.11
2023-02-02 15:05:00,50.71
2023-02-02 15:10:00,50.61
2023-02-02 15:15:00,50.61
2023-02-02 15:20:00,50.56
2023-02-02 15:25:00,64.32
2023-02-02 15:30:00,64.32
2023-02-02 15:35:00,61.32
2023-02-02 15:40:00,65.42
2023-02-02 15:45:00,65.42
2023-02-02 15:50:00,67.54
2023-02-02 15:55:00,72.66
2023-02-02 16:00:00,72.66
2023-02-02 16:05:00,67.85
2023-02-02 16:10:00,66.34
2023-02-02 16:15:00,66.34
2023-02-02 16:20:00,59.72
2023-02-02 16:25:00,67.33
2023-02-02 16:30:00,67.33
2023-02-02 16:35:00,70.02
2023-02-02 16:40:00,70.02
2023-02-02 16:45:00,76.67
2023-02-02 16:50:00,82.76
2023-02-02 16:55:00,85.85
2023-02-02 17:00:00,85.85
2023-02-02 17:05:00,76.75
2023-02-02 17:10:00,84.62
2023-02-02 17:15:00,84.62
2023-02-02 17:20:00,85.26
2023-02-02 17:25:00,85.26
2023-02-02 17:30:00,86.41
2023-02-02 17:35:00,93.75
2023-02-02 17:40:00,98.73
2023-02-02 17:45:00,98.73
2023-02-02 17:50:00,100.08
